Lon,Lat,Dist (m),Azimuth,Names
-71.335239,-29.949693,9351004.073130155,123.70935262447006,juan
-71.335239,-29.949693,9420389.707356358,132.84550596395945,ancu
0.0,0.0,9475064.252787488,89.075211256644,sant
-71.4686,-29.24611,9483659.620617112,131.68762533553993,bmsa
-71.249937,-28.468893,9483659.620617112,131.68762533553993,bmsa
-71.249937,-28.468893,9489919.894987201,88.78503789423182,balt
-73.737021,-40.581105,9538278.568584919,131.1423034224378,corr
-90.283,-0.433,9538278.568584919,131.1423034224378,corr
-70.824719,-27.064605,9576585.22081397,130.75872090194818,quel
-70.824719,-27.064605,9576585.22081397,130.75872090194818,quel
-77.1668,-12.069,9588394.122023623,130.09055550135372,nhte
-70.633759,-26.351758,9588405.241516287,130.09044803461606,ntue
-70.633759,-26.351758,9588405.241516287,130.09044803461606,ntue
-80.9064,-2.2177,9620229.22952196,128.96366080094262,lebu
-70.489794,-25.407269,9620229.22952196,128.96366080094262,lebu
-70.489794,-25.40727,9654899.807649732,71.5652542632958,sali
-70.468728,-25.008982,9654899.807649732,71.5652542632958,sali
-70.468728,-25.008982,9686912.827030702,128.60862256912748,crnl
-84.1702,9.4255,9686912.827030702,128.60862256912748,crnl
-70.404624,-23.654215,9724741.34107518,128.22299748444067,coli
-70.404624,-23.654215,9724741.34107518,128.22299748444067,coli
-70.450663,-23.097712,9819179.192274403,127.30958233649261,cons
-70.450663,-23.097712,9882949.482705057,126.83617509545783,boye
0.0,0.0,9882949.482705057,126.83617509545783,boye
0.0,0.0,9970726.757798271,125.98398121187842,sano
0.0,0.0,9970726.757798271,125.98398121187842,sano
0.0,0.0,9995512.106947344,125.47844737264388,valp
0.0,0.0,9995512.106947344,125.47844737264388,valp
0.0,0.0,10015894.137001293,125.28586862943938,qtro
0.0,0.0,10015894.137001293,125.28586862943938,qtro
0.0,0.0,10045205.1196648,124.7047454762864,pich
0.0,0.0,10123664.259905199,123.00607692986918,ptal
0.0,0.0,10123664.259905199,123.00607692986918,ptal
0.0,0.0,10163394.2071953,122.79452635030876,coqu
0.0,0.0,10163394.2071953,122.79452635030876,coqu
0.0,0.0,10184265.494926482,122.10855434115835,ptch
0.0,0.0,10239662.807380803,121.48467157185455,huas
0.0,0.0,10239662.807380803,121.48467157185455,huas
0.0,0.0,10343051.850174913,120.37159852920998,cald
0.0,0.0,10343051.850174913,120.37159852920998,cald
0.0,0.0,10388541.694665203,104.26268990302931,call
0.0,0.0,10393578.824842202,119.79847483692777,chnr
0.0,0.0,10393578.824842202,119.79847483692777,chnr
0.0,0.0,10398037.741400648,93.7494386127415,lali
0.0,0.0,10450821.97307882,118.99821196616787,talt
0.0,0.0,10450821.97307882,118.99821287180035,talt
0.0,0.0,10471370.795522735,118.64553031222756,papo
0.0,0.0,10471370.795522735,118.64553031222756,papo
0.0,0.0,10505596.59394393,81.70538632667467,quep
0.0,0.0,10540500.681417657,117.4421377845523,anto
0.0,0.0,10540500.681417657,117.4421377845523,anto
0.0,0.0,10562128.094650023,116.919247256589,meji
0.0,0.0,10562128.094650023,116.919247256589,meji
0.0,0.0,10631135.666125637,116.10074016633745,toco
0.0,0.0,10631135.666125637,116.10074016633745,toco
0.0,0.0,10681017.710218387,110.71043419371799,mata
0.0,0.0,10692292.875780143,114.93237425979476,pata
0.0,0.0,10692292.875780143,114.93237425979476,pata
0.0,0.0,10724739.555375025,114.40700324425089,iqui
0.0,0.0,10724739.555375025,114.40700324425089,iqui
0.0,0.0,10746333.6101294,113.82623363578446,pisa
0.0,0.0,10746333.6101294,113.82623363578446,pisa
0.0,0.0,10787509.091465877,112.76003020555333,aric
0.0,0.0,10787509.091465877,112.76003020555333,aric
0.0,0.0,13522448.38772278,231.60758358513593,toam
0.0,0.0,15670767.72897365,350.3668332350663,jute
0.0,0.0,16786842.327197753,6.490378567900046,ouis
